id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1708,Bantam,Dean Koontz,None,2/15/15,SAINT ODD,0.0
1709,"Little, Brown",Michael Connelly,316225924.0,2/8/15,THE BURNING ROOM,0.0
1710,Story Ink,Elle James,None,2/8/15,COWBOY 12 PACK,0.0
1711,Random House,Rachel Joyce,067964511X,2/8/15,THE UNLIKELY PILGRIMAGE OF HAROLD FRY,0.0
1712,Morrow/HarperCollins,Dorothea Benton Frank,62132458.0,2/1/15,THE LAST ORIGINAL WIFE,0.0
1713,WGW,Whitney Gracia Williams,990317072.0,2/1/15,REASONABLE DOUBT FULL SERIES,0.0
1714,Putnam,Stuart Woods,NA,2/1/15,INSATIABLE APPETITES,0.0
1715,Delacorte,Alan Bradley,345539958.0,1/25/15,AS CHIMNEY SWEEPERS COME TO DUST,0.0
1716,Harper,Bernard Cornwell,62250744.0,1/25/15,THE EMPTY THRONE,0.0
1717,Deborah Bladon,Deborah Bladon,None,1/18/15,GONE - PART THREE,0.0
1718,Berkley,Sylvia Day,None,1/18/15,CAPTIVATED BY YOU,0.0
1719,Deborah Bladon,Deborah Bladon,None,1/18/15,GONE - PART TWO,0.0
1720,Putnam,Jack Higgins,None,1/18/15,RAIN ON THE DEAD,0.0
1721,Broadway,Gillian Flynn,307341550.0,1/11/15,SHARP OBJECTS,0.0
1722,Dutton,Ken Follett,525953094.0,1/4/15,EDGE OF ETERNITY,0.0
1723,Golden Unicorn Enterprises,J S Scott and others,None,12/21/14,NAUGHTY & NICE,0.0
1724,Simon & Schuster,Mary Higgins Clark and Alafair Burke,1476763127.0,12/21/14,THE CINDERELLA MURDER,0.0
1725,Pocket Star,J A Jance,1501103695.0,12/14/14,A LAST GOODBYE,0.0
1726,Grand Central,Douglas Preston and Lincoln Child,1455525901.0,12/14/14,BLUE LABYRINTH,0.0
1727,Berkley,Nora Roberts,698144546.0,12/14/14,BLOOD MAGICK,0.0
1728,Latin Goddess Press,Milly Taiden,None,12/14/14,CURVES 'EM RIGHT,0.0
1729,Carina Press,Jaci Burton,1426899351.0,12/7/14,JACI BURTON THE KENT BROTHERS TRILOGY,0.0
1730,Bantam,J Kenner,None,11/23/14,HAVE ME,0.0
1731,"Little, Brown",James Patterson and Michael Ledwidge,316211028.0,11/23/14,BURN,0.0
1732,Denise Grover Swank,Denise Grover Swank,None,11/23/14,THIRTY-THREE AND A HALF SHENANIGANS,0.0
1733,Deborah Bladon,Deborah Bladon,None,11/23/14,RUIN: PART TWO,0.0
1734,Ellora's Cave,Laurann Dohner,None,11/16/14,SMILEY,0.0
1735,Jove,Nalini Singh,None,11/16/14,ARCHANGEL'S SHADOWS,0.0
1736,Avon,Ilona Andrews,62289241.0,11/16/14,BURN FOR ME,0.0
1737,Lisa Renee Jones,Lisa Renee Jones,None,11/16/14,"TALL, DARK AND DEADLY BOOKS 1 - 4",0.0
1738,Pocket Books,Jude Deveraux,None,11/9/14,CHANGE OF HEART,0.0
1739,Putnam,Stuart Woods,NA,11/2/14,PARIS MATCH,0.0
1740,"Little, Brown",Elin Hilderbrand,None,11/2/14,WINTER STREET,0.0
1741,Grand Central Publishing,Jill Shalvis,None,11/2/14,ONE IN A MILLION,0.0
1742,Kelley R. Martin,Kelley R Martin,None,11/2/14,DOWN AND OUT,0.0
1743,Dell,Diana Gabaldon,440335183.0,11/2/14,DRAGONFLY IN AMBER,0.0
1744,Avon,Maya Banks,62312472.0,10/26/14,KEEP ME SAFE,0.0
1745,"Farrar, Straus & Giroux",Marilynne Robinson,374187614.0,10/26/14,LILA,0.0
1746,Jessica Sorensen,Jessica Sorensen,None,10/19/14,THE RESOLUTION OF CALLIE AND KAYDEN,0.0
1747,Broadway,Gillian Flynn,None,10/19/14,THE COMPLETE GILLIAN FLYNN,0.0
1748,Gossamer,Melody Anne,None,10/19/14,HOLIDAY TREASURE,0.0
1749,HTJB,Marie Force,None,10/19/14,KISSES AFTER DARK,0.0
1750,Morrow,J Lynn,62294814.0,10/12/14,STAY WITH ME,0.0
1751,Putnam,J D Robb,1101617276.0,10/12/14,FESTIVE IN DEATH,0.0
1752,Doubleday,John Grisham,345543246.0,10/12/14,SYCAMORE ROW,0.0
1753,Plume,Jonathan Tropper,None,10/12/14,THIS IS WHERE I LEAVE YOU,0.0
1754,Victoria Ashley,Victoria Ashley,None,10/5/14,HEMY,0.0
1755,Riverhead,Sarah Waters,NA,10/5/14,THE PAYING GUESTS,0.0
1756,Putnam,Clive Cussler and Russell Blake,NA,9/28/14,THE EYE OF HEAVEN,0.0
1757,Bantam,J Kenner,080417671X,9/28/14,IGNITED,0.0
1758,Morrow,Faye Kellerman,NA,9/21/14,MURDER 101,0.0
1759,Ace,Patricia Briggs,1101609508.0,9/21/14,SHIFTING SHADOWS,0.0
1760,Grand Central,Jill Shalvis,1455529516.0,9/14/14,IT'S IN HIS KISS,0.0
1761,Morrow,Susan Elizabeth Phillips,62106112.0,9/14/14,HEROES ARE MY WEAKNESS,0.0
1762,Deborah Bladon,Deborah Bladon,None,9/14/14,VAIN - PART THREE,0.0
1763,Delacorte,Lee Child,804178836.0,9/14/14,NOT A DRILL,0.0
1764,Knopf,Paulo Coelho,1101874082.0,9/7/14,ADULTERY,0.0
1765,Morrow/HarperCollins,James Rollins,62194925.0,9/7/14,THE 6TH EXTINCTION,0.0
1766,Avon Impulse,Laura Kaye,None,9/7/14,HARD TO HOLD ON TO,0.0
1767,Ballantine,Debbie Macomber,None,9/7/14,LOVE LETTERS,0.0
1768,Del Rey,Robin Hobb,553392433.0,8/31/14,FOOL'S ASSASSIN,0.0
1769,Atria,Colleen Hoover,None,8/31/14,UGLY LOVE,0.0
1770,Angela Graham,Angela Graham,None,8/31/14,INDESTRUCTIBLE,0.0
1771,Putnam,W E B Griffin and William E Butterworth IV,NA,8/24/14,TOP SECRET,0.0
1772,Emily Bestler/Atria,Brad Thor,NA,8/24/14,ACT OF WAR,0.0
1773,Delacorte,Danielle Steel,345530969.0,8/17/14,A PERFECT LIFE,0.0
1774,Putnam,Mark Greaney,039917334X,8/17/14,TOM CLANCY: SUPPORT AND DEFEND,0.0
1775,Pocket,Sandra Brown,743290062.0,8/10/14,CHILL FACTOR,0.0
1776,Putnam,Catherine Coulter,NA,8/10/14,POWER PLAY,0.0
1777,Uncommonly Romantic Books,Opal Carew and others,None,8/10/14,MASTERED,0.0
1778,Dutton,Brad Taylor,None,8/3/14,DAYS OF RAGE,0.0
1779,Atria,Jennifer Weiner,1451617801.0,8/3/14,ALL FALL DOWN,0.0
1780,Putnam,C J Box,NA,8/3/14,SHOTS FIRED,0.0
1781,Delacorte,Diana Gabaldon,044024644X,7/27/14,WRITTEN IN MY OWN HEART'S BLOOD,0.0
1782,Pamela Dorman/Viking,Jojo Moyes,NA,7/27/14,ONE PLUS ONE,0.0
1783,"Mulholland/Little, Brown",Robert Galbraith,316206865.0,7/27/14,THE CUCKOO'S CALLING,0.0
1784,Ace,Anthony Ryan,NA,7/20/14,TOWER LORD,0.0
1785,Deborah Bladon,Deborah Bladon,NA,7/20/14,PULSE - PART FOUR,0.0
1786,Ballantine,Jude Deveraux,345541839.0,7/20/14,FOR ALL TIME,0.0
1787,Harlequin Mira,Ron Carr,NA,7/20/14,THE PROMISE,0.0
1788,Ampersand,Kristen Pro,1633500012.0,7/13/14,BREATHE WITH ME,0.0
1789,Violet Duke,Violet Duke,None,7/13/14,"LOVE, LAUGHTER, AND HAPPILY EVER AFTERS COLLECTION",0.0
1790,Ballantine,Emily Giffin,034554689X,7/6/14,THE ONE AND ONLY,0.0
1791,Dutton,Linda Fairstein,NA,7/6/14,TERMINAL CITY,0.0
