id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
939,1965.0,Cameron,Sir David,851.0,Turkish Fort,Etching on paper,1909.0,Presented by J. McLehose 1924,1924.0,http://www.tate.org.uk/art/images/work/P/P01/P01007_8.jpg,http://www.tate.org.uk/art/artworks/cameron-turkish-fort-p01007
940,2118.0,Cézanne,Paul,879.0,The Large Bathers,Lithograph on paper,1898.0,Presented by Lord Duveen 1927,1927.0,http://www.tate.org.uk/art/images/work/P/P01/P01008_8.jpg,http://www.tate.org.uk/art/artworks/cezanne-the-large-bathers-p01008
941,2241.0,Clarke,Geoffrey,912.0,Crucifixion,Aquatint on paper,1954.0,Presented anonymously 1974,1974.0,http://www.tate.org.uk/art/images/work/P/P01/P01011_8.jpg,http://www.tate.org.uk/art/artworks/clarke-crucifixion-p01011
942,2561.0,Conder,Charles,934.0,Spanish Set,Lithograph on paper,1905.0,Presented by Mr and Mrs F. Gibson 1917,1917.0,http://www.tate.org.uk/art/images/work/P/P01/P01018_8.jpg,http://www.tate.org.uk/art/artworks/conder-spanish-set-p01018
943,5772.0,Hamilton,Richard,1244.0,People,"Photograph, gouache, screenprint and postcard on paper",1968.0,Presented by Dr and Mrs C.W.L. Smith 1971,1971.0,http://www.tate.org.uk/art/images/work/P/P01/P01019_8.jpg,http://www.tate.org.uk/art/artworks/hamilton-people-p01019
944,6681.0,Holroyd,Sir Charles,1305.0,"Alcantara Bridge, Toledo",Etching on paper,1906.0,Presented by Lady Holroyd 1918,1918.0,http://www.tate.org.uk/art/images/work/P/P01/P01020_8.jpg,http://www.tate.org.uk/art/artworks/holroyd-alcantara-bridge-toledo-p01020
945,6686.0,Holroyd,Sir Charles,1305.0,"The Salute, Venice",Etching on paper,1902.0,Presented by Lady Holroyd 1918,1918.0,http://www.tate.org.uk/art/images/work/P/P01/P01025_8.jpg,http://www.tate.org.uk/art/artworks/holroyd-the-salute-venice-p01025
946,10549.0,Nash,Paul,1690.0,Promenade II,Wood engraving on paper,1920.0,Presented by the Trustees of the Paul Nash Trust 1971,1971.0,http://www.tate.org.uk/art/images/work/P/P01/P01026_8.jpg,http://www.tate.org.uk/art/artworks/nash-promenade-ii-p01026
947,10622.0,Newman,Barnett,1699.0,Canto I,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01027_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-i-p01027
948,10623.0,Newman,Barnett,1699.0,Canto II,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01028_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-ii-p01028
949,10624.0,Newman,Barnett,1699.0,Canto III,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01029_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-iii-p01029
950,10625.0,Newman,Barnett,1699.0,Canto IV,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01030_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-iv-p01030
951,10626.0,Newman,Barnett,1699.0,Canto V,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01031_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-v-p01031
952,10627.0,Newman,Barnett,1699.0,Canto VI,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01032_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-vi-p01032
953,10628.0,Newman,Barnett,1699.0,Canto VII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01033_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-vii-p01033
954,10629.0,Newman,Barnett,1699.0,Canto VIII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01034_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-viii-p01034
955,10630.0,Newman,Barnett,1699.0,Canto IX,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01035_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-ix-p01035
956,10631.0,Newman,Barnett,1699.0,Canto X,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01036_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-x-p01036
957,10632.0,Newman,Barnett,1699.0,Canto XI,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01037_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xi-p01037
958,10633.0,Newman,Barnett,1699.0,Canto XII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01038_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xii-p01038
959,10634.0,Newman,Barnett,1699.0,Canto XIII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01039_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xiii-p01039
960,10635.0,Newman,Barnett,1699.0,Canto XIV,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01040_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xiv-p01040
961,10636.0,Newman,Barnett,1699.0,Canto XV,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01041_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xv-p01041
962,10637.0,Newman,Barnett,1699.0,Canto XVI,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01042_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xvi-p01042
963,10638.0,Newman,Barnett,1699.0,Canto XVII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01043_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xvii-p01043
964,10639.0,Newman,Barnett,1699.0,Canto XVIII,Lithograph on paper,1963.0,"Presented by Mrs Annalee Newman, the artist's widow 1972",1972.0,http://www.tate.org.uk/art/images/work/P/P01/P01044_8.jpg,http://www.tate.org.uk/art/artworks/newman-canto-xviii-p01044
965,12578.0,Ricketts,Charles,1843.0,Frontispiece to ‘The Dial’,Wood engraving on paper,1886.0,Presented by Sir C. Holmes 1924,1924.0,http://www.tate.org.uk/art/images/work/P/P01/P01049_8.jpg,http://www.tate.org.uk/art/artworks/ricketts-frontispiece-to-the-dial-p01049
966,13339.0,Shannon,Charles,1931.0,The Modeller,Lithograph on paper,1891.0,Presented by Edward Marsh 1909,1909.0,http://www.tate.org.uk/art/images/work/P/P01/P01051_8.jpg,http://www.tate.org.uk/art/artworks/shannon-the-modeller-p01051
967,1002.0,Blake,Peter,763.0,J.A.,Screenprint on paper,1969.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01072_8.jpg,http://www.tate.org.uk/art/artworks/blake-ja-p01072
968,1003.0,Blake,Peter,763.0,Leo 79,Screenprint on paper,1969.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01073_8.jpg,http://www.tate.org.uk/art/artworks/blake-leo-79-p01073
969,1004.0,Blake,Peter,763.0,Leo 139,Screenprint on paper,1969.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01074_8.jpg,http://www.tate.org.uk/art/artworks/blake-leo-139-p01074
970,1005.0,Blake,Peter,763.0,Leo 153,Screenprint on paper,1969.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01075_8.jpg,http://www.tate.org.uk/art/artworks/blake-leo-153-p01075
971,1006.0,Blake,Peter,763.0,Serie 83,Screenprint on paper,1969.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01076_8.jpg,http://www.tate.org.uk/art/artworks/blake-serie-83-p01076
972,4567.0,Frink,Dame Elisabeth,1124.0,Horse and Rider VI,Lithograph on paper,1970.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01102_8.jpg,http://www.tate.org.uk/art/artworks/frink-horse-and-rider-vi-p01102
