id,Date,State,Total Confirmed Cases,Total Deaths
489,Thu 9/3,Vermont,1637,58
490,Thu 9/3,Virgin Islands,1150,16
491,Thu 9/3,Virginia,123668,2652
492,Thu 9/3,Washington,79120,2033
493,Thu 9/3,West Virginia,10845,237
494,Thu 9/3,Wisconsin,83119,1155
495,Thu 9/3,Wyoming,3939,41
496,Fri 9/4,Alabama,130393,2266
497,Fri 9/4,Alaska,6416,37
498,Fri 9/4,Arizona,204686,5174
499,Fri 9/4,Arkansas,64678,873
500,Fri 9/4,California,732691,13644
501,Fri 9/4,Colorado,59021,1973
502,Fri 9/4,Connecticut,53365,4468
503,Fri 9/4,Delaware,17752,606
504,Fri 9/4,District of Columbia,14186,611
505,Fri 9/4,Florida,640203,11749
506,Fri 9/4,Georgia,263047,5797
507,Fri 9/4,Guam,2588,15
508,Fri 9/4,Hawaii,9448,80
509,Fri 9/4,Idaho,33628,386
510,Fri 9/4,Illinois,248253,8386
511,Fri 9/4,Indiana,100011,3350
512,Fri 9/4,Iowa,68757,1158
513,Fri 9/4,Kansas,46049,481
514,Fri 9/4,Kentucky,55500,1028
515,Fri 9/4,Louisiana,152369,5035
516,Fri 9/4,Maine,4632,134
517,Fri 9/4,Maryland,111332,3789
518,Fri 9/4,Massachusetts,121758,9100
519,Fri 9/4,Michigan,116470,6802
520,Fri 9/4,Minnesota,79018,1899
521,Fri 9/4,Mississippi,85939,2558
522,Fri 9/4,Missouri,91994,1698
523,Fri 9/4,Montana,8046,114
524,Fri 9/4,Nebraska,35661,411
525,Fri 9/4,Nevada,70783,1376
526,Fri 9/4,New Hampshire,7368,432
527,Fri 9/4,New Jersey,195205,15978
528,Fri 9/4,New Mexico,25902,794
529,Fri 9/4,New York,442698,32573
530,Fri 9/4,North Carolina,174848,2868
531,Fri 9/4,North Dakota,12977,154
532,Fri 9/4,Northern Mariana Islands,57,2
533,Fri 9/4,Ohio,128444,4248
534,Fri 9/4,Oklahoma,62040,846
535,Fri 9/4,Oregon,27605,481
536,Fri 9/4,Pennsylvania,142537,7821
537,Fri 9/4,Puerto Rico,34241,455
538,Fri 9/4,Rhode Island,22243,1055
539,Fri 9/4,South Carolina,123325,2846
540,Fri 9/4,South Dakota,14596,170
541,Fri 9/4,Tennessee,158120,1813
542,Fri 9/4,Texas,658789,13516
543,Fri 9/4,Utah,53940,420
544,Fri 9/4,Vermont,1642,58
545,Fri 9/4,Virgin Islands,1150,16
546,Fri 9/4,Virginia,124779,2662
547,Fri 9/4,Washington,79721,2042
548,Fri 9/4,West Virginia,11037,243
549,Fri 9/4,Wisconsin,84519,1164
550,Fri 9/4,Wyoming,3989,42
551,Sat 9/5,Alabama,131803,2275
552,Sat 9/5,Alaska,6514,39
553,Sat 9/5,Arizona,205518,5207
554,Sat 9/5,Arkansas,65226,882
555,Sat 9/5,California,737073,13708
556,Sat 9/5,Colorado,59362,1978
557,Sat 9/5,Connecticut,53365,4468
558,Sat 9/5,Delaware,17892,608
559,Sat 9/5,District of Columbia,14238,611
560,Sat 9/5,Florida,643859,11810
561,Sat 9/5,Georgia,265215,5842
562,Sat 9/5,Guam,2640,16
563,Sat 9/5,Hawaii,9667,83
564,Sat 9/5,Idaho,33884,386
565,Sat 9/5,Illinois,250882,8405
566,Sat 9/5,Indiana,101094,3362
567,Sat 9/5,Iowa,69690,1165
568,Sat 9/5,Kansas,46051,482
569,Sat 9/5,Kentucky,56016,1033
570,Sat 9/5,Louisiana,152369,5035
571,Sat 9/5,Maine,4667,134
572,Sat 9/5,Maryland,112104,3796
573,Sat 9/5,Massachusetts,122196,9116
574,Sat 9/5,Michigan,117267,6809
