id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
143,Screamer,Scandia Amusement Park,Ontario,USA,North America,Steel,27.432,81.0,792.48,No,0.0,1995.0
144,Vortex,California's Great America,Santa Clara,USA,North America,Steel,27.7368,64.8,585.216,Yes,2.0,1991.0
145,Grizzly,California's Great America,Santa Clara,USA,North America,Wood,27.7368,89.1,990.6,No,0.0,1986.0
146,Bandit,Movie Park Germany,"Bottrop, North Rhine-Westphalia",Germany,Europe,Wood,27.8,80.0,"1,099",No,0.0,1999.0
147,Euro Mir,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,28.0,80.0,980.0,No,0.0,1997.0
148,Roar,Six Flags Discovery Kingdom,Vallejo,USA,North America,Wood,28.6512,81.0,"1,003.10",No,0.0,1999.0
149,Terminator Salvation: The Coaster,Six Flags Magic Mountain,Valencia,USA,North America,Wood,28.956,81.0,876.91,No,0.0,2009.0
150,Fluch von Novgorod,Hansa Park,"Sierksdorf, Schleswig-Holstein",Germany,Europe,Steel,40.0,100.0,700.1256,Yes,1.0,2009.0
151,Boardwalk Bullet,Kemah Boardwalk,Kemah,USA,North America,Wood,29.2608,82.62,986.333,No,0.0,2007.0
152,Half Pipe,Elitch Gardens,Denver,USA,North America,Steel,29.8704,69.66,69.7992,No,0.0,2004.0
153,Big Loop,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,30.0,63.0,706.0,Yes,4.0,1983.0
154,EuroLoop,Europark,"Vias, Languedoc-Roussillon",France,Europe,Steel,30.0,65.0,749.808,Yes,4.0,2004.0
155,Atlantica SuperSplash,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,30.0,80.0,390.0,No,0.0,2005.0
156,Tonnerre de Zeus,Parc Asterix,"Plailly, Picardie",France,Europe,Wood,30.0,84.0,"1,232.60",No,0.0,1997.0
157,Mammut,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",Germany,Europe,Wood,30.0,90.0,860.0,No,0.0,2008.0
158,Legend,Holiday World,Santa Claus,USA,North America,Wood,30.1752,95.58,"1,232",No,0.0,2000.0
159,Batman The Ride,Six Flags Great America,Gurnee,USA,North America,Steel,30.48,81.0,822.96,Yes,5.0,1992.0
160,Viper,Six Flags Great America,Gurnee,USA,North America,Wood,30.48,81.0,"1,054",No,0.0,1995.0
161,Twister II,Elitch Gardens,Denver,USA,North America,Wood,30.48,89.1,"1,414.27",No,0.0,1995.0
162,Iron Wolf,Six Flags Great America,Gurnee,USA,North America,Steel,30.48,89.1,883.92,Yes,2.0,1990.0
163,Demon,Six Flags Great America,Gurnee,USA,North America,Steel,31.0896,81.0,649.224,Yes,4.0,1976.0
164,Demon,California's Great America,Santa Clara,USA,North America,Steel,31.0896,81.0,649.224,Yes,4.0,1976.0
165,Flight Deck,California's Great America,Santa Clara,USA,North America,Steel,31.0896,81.0,688.848,Yes,3.0,1993.0
