id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
1,West Eifel Volcanic Field,Germany,Maar(s),8300 BCE,Western Europe,50.17,6.85,600.0,Foidite,Rift zone / Continental crust (>25 km)
2,Chaine des Puys,France,Lava dome(s),4040 BCE,Western Europe,45.78,2.97,1464.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
3,Calatrava Volcanic Field,Spain,Pyroclastic cone(s),3600 BCE,Western Europe,38.87,-4.02,1117.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
4,Vulsini,Italy,Caldera,104 BCE,Italy,42.6,11.93,800.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
5,Campi Flegrei,Italy,Caldera,1538 CE,Italy,40.83,14.14,458.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
6,Vesuvius,Italy,Stratovolcano,1944 CE,Italy,40.82,14.43,1281.0,Phono-tephrite /  Tephri-phonolite,Subduction zone / Continental crust (>25 km)
7,Ischia,Italy,Complex,1302 CE,Italy,40.73,13.9,789.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
8,Palinuro,Italy,Submarine,8040 BCE,Italy,39.48,14.83,-70.0,Phonolite,Subduction zone / Continental crust (>25 km)
9,Stromboli,Italy,Stratovolcano,2020 CE,Italy,38.79,15.21,924.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
10,Lipari,Italy,Stratovolcano(es),1230 CE,Italy,38.49,14.93,590.0,Rhyolite,Subduction zone / Continental crust (>25 km)
11,Vulcano,Italy,Stratovolcano(es),1890 CE,Italy,38.4,14.96,500.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
12,Etna,Italy,Stratovolcano(es),2020 CE,Italy,37.75,15.0,3295.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
13,Campi Flegrei del Mar di Sicilia,Italy,Submarine,1867 CE,Italy,37.1,12.7,-8.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
14,Pantelleria,Italy,Shield,1891 CE,Italy,36.77,12.02,836.0,Rhyolite,Rift zone / Continental crust (>25 km)
15,Methana,Greece,Lava dome(s),258 BCE,Greece,37.62,23.34,760.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
16,Milos,Greece,Stratovolcano(es),140 CE,Greece,36.7,24.44,751.0,Rhyolite,Subduction zone / Continental crust (>25 km)
17,Santorini,Greece,Shield(s),1950 CE,Greece,36.4,25.4,367.0,Dacite,Subduction zone / Continental crust (>25 km)
18,Nisyros,Greece,Stratovolcano,1888 CE,Greece,36.59,27.16,698.0,Dacite,Subduction zone / Continental crust (>25 km)
19,Acigol-Nevsehir,Turkey,Caldera,2080 BCE,Turkey,38.54,34.62,1683.0,Rhyolite,Intraplate / Continental crust (>25 km)
20,Erciyes Dagi,Turkey,Stratovolcano,6880 BCE,Turkey,38.53,35.45,3864.0,Dacite,Intraplate / Continental crust (>25 km)
21,Nemrut Dagi,Turkey,Stratovolcano,1650 CE,Turkey,38.65,42.23,2948.0,Rhyolite,Intraplate / Continental crust (>25 km)
22,Tenduruk Dagi,Turkey,Shield,1855 CE,Turkey,39.36,43.87,3514.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
23,Ararat,Turkey,Stratovolcano,1840 CE,Turkey,39.7,44.3,5165.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
24,Elbrus,Russia,Stratovolcano,50 CE,Western Asia,43.35,42.44,5642.0,Dacite,Intraplate / Continental crust (>25 km)
25,Kazbek,Georgia,Stratovolcano,750 BCE,Western Asia,42.7,44.5,5050.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
26,Ghegham Volcanic Ridge,Armenia,Volcanic field,1900 BCE,Western Asia,40.28,45.0,3597.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
27,Vaiyots-Sar,Armenia,Pyroclastic cone(s),2000 BCE,Western Asia,39.8,45.5,2575.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
28,Porak,Armenia-Azerbaijan,Stratovolcano,778 BCE,Western Asia,40.03,45.74,3029.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
29,Tskhouk-Karckar,Armenia-Azerbaijan,Pyroclastic cone(s),3000 BCE,Western Asia,39.74,45.99,3139.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
30,"Tair, Jebel at",Yemen,Stratovolcano,2008 CE,Africa (northeastern) and Red Sea,15.55,41.83,244.0,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km)
31,Zubair Group,Yemen,Shield,2013 CE,Africa (northeastern) and Red Sea,15.05,42.18,191.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
32,Dallol,Ethiopia,Explosion crater(s),2011 CE,Africa (northeastern) and Red Sea,14.24,40.3,-48.0,No Data (checked),Rift zone / Intermediate crust (15-25 km)
33,Alu-Dalafilla,Ethiopia,Fissure vent(s),2008 CE,Africa (northeastern) and Red Sea,13.79,40.55,578.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
34,Erta Ale,Ethiopia,Shield,2020 CE,Africa (northeastern) and Red Sea,13.6,40.67,613.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
35,Dubbi,Eritrea,Stratovolcano,1861 CE,Africa (northeastern) and Red Sea,13.58,41.81,1625.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
36,Nabro,Eritrea,Stratovolcano,2012 CE,Africa (northeastern) and Red Sea,13.37,41.7,2218.0,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km)
37,Alayta,Ethiopia,Shield,1915 CE,Africa (northeastern) and Red Sea,12.89,40.57,1496.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
38,Dabbahu,Ethiopia,Stratovolcano,2005 CE,Africa (northeastern) and Red Sea,12.6,40.48,1401.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
39,Manda Hararo,Ethiopia,Shield(s),2009 CE,Africa (northeastern) and Red Sea,12.17,40.82,600.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
40,Manda-Inakir,Ethiopia-Djibouti,Fissure vent(s),1928 CE,Africa (northeastern) and Red Sea,12.38,42.2,600.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
41,Ardoukoba,Djibouti,Fissure vent(s),1978 CE,Africa (northeastern) and Red Sea,11.58,42.47,298.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
42,Dama Ali,Ethiopia,Shield,1631 CE,Africa (northeastern) and Red Sea,11.28,41.63,1068.0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
43,Fentale,Ethiopia,Stratovolcano,1820 CE,Africa (northeastern) and Red Sea,8.98,39.93,2007.0,Rhyolite,Rift zone / Continental crust (>25 km)
44,Kone,Ethiopia,Caldera(s),1820 CE,Africa (northeastern) and Red Sea,8.79,39.7,1380.0,Rhyolite,Rift zone / Continental crust (>25 km)
45,Tullu Moje,Ethiopia,Pyroclastic cone,1900 CE,Africa (northeastern) and Red Sea,8.16,39.14,2343.0,Rhyolite,Rift zone / Continental crust (>25 km)
46,Alutu,Ethiopia,Stratovolcano,50 BCE,Africa (northeastern) and Red Sea,7.77,38.78,2335.0,Rhyolite,Rift zone / Continental crust (>25 km)
47,South Island,Kenya,Stratovolcano,1888 CE,Africa (eastern),2.63,36.6,800.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
48,"Barrier, The",Kenya,Shield,1921 CE,Africa (eastern),2.32,36.57,1032.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
49,Namarunu,Kenya,Shield,6550 BCE,Africa (eastern),1.98,36.43,817.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
50,Emuruangogolak,Kenya,Shield,1910 CE,Africa (eastern),1.5,36.33,1285.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
51,Silali,Kenya,Shield,5050 BCE,Africa (eastern),1.15,36.23,1528.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
52,Paka,Kenya,Shield,7550 BCE,Africa (eastern),0.92,36.18,1697.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
53,Menengai,Kenya,Shield,6050 BCE,Africa (eastern),-0.2,36.07,2278.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
54,Olkaria,Kenya,Pyroclastic cone(s),1770 CE,Africa (eastern),-0.9,36.29,2434.0,Rhyolite,Rift zone / Continental crust (>25 km)
55,Longonot,Kenya,Stratovolcano,1863 CE,Africa (eastern),-0.91,36.45,2776.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
56,"Lengai, Ol Doinyo",Tanzania,Stratovolcano,2020 CE,Africa (eastern),-2.76,35.91,2962.0,Foidite,Rift zone / Continental crust (>25 km)
57,Chyulu Hills,Kenya,Volcanic field,1855 CE,Africa (eastern),-2.68,37.88,2188.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
58,Meru,Tanzania,Stratovolcano,1910 CE,Africa (eastern),-3.25,36.75,4565.0,Phonolite,Rift zone / Continental crust (>25 km)
59,Igwisi Hills,Tanzania,Pyroclastic cone(s),10450 BCE,Africa (eastern),-4.89,31.93,1146.0,Foidite,Rift zone / Continental crust (>25 km)
60,Ngozi,Tanzania,Caldera,1450 CE,Africa (eastern),-8.99,33.55,2614.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
61,Rungwe,Tanzania,Stratovolcano,1250 CE,Africa (eastern),-9.14,33.67,2953.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
62,Kyejo,Tanzania,Stratovolcano,1800 CE,Africa (eastern),-9.23,33.79,2176.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
63,Fort Portal,Uganda,Tuff cone(s),2120 BCE,Africa (central),0.7,30.25,1615.0,Foidite,Rift zone / Continental crust (>25 km)
64,Nyamuragira,DR Congo,Shield,2020 CE,Africa (central),-1.41,29.2,3058.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
65,Nyiragongo,DR Congo,Stratovolcano,2020 CE,Africa (central),-1.52,29.25,3470.0,Foidite,Rift zone / Continental crust (>25 km)
66,Karisimbi,DR Congo-Rwanda,Stratovolcano,8050 BCE,Africa (central),-1.51,29.45,4490.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
67,Visoke,DR Congo-Rwanda,Stratovolcano,1957 CE,Africa (central),-1.46,29.49,3696.0,Trachyandesite / Basaltic Trachyandesite,Rift zone / Continental crust (>25 km)
68,Santa Isabel,Equatorial Guinea,Shield,1923 CE,Africa (western),3.59,8.76,2999.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
69,Cameroon,Cameroon,Stratovolcano,2000 CE,Africa (western),4.2,9.17,4095.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
70,"Marra, Jebel",Sudan,Volcanic field,2000 BCE,Africa (northern),12.95,24.27,3042.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
71,Meidob Volcanic Field,Sudan,Pyroclastic cone(s),2950 BCE,Africa (northern),15.32,26.47,2000.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
72,Bayuda Volcanic Field,Sudan,Pyroclastic cone(s),850 CE,Africa (northern),18.33,32.75,670.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
73,Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,Volcanic field,1850 CE,Middle East (western),32.33,37.58,1100.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
74,"Uwayrid, Harrat",Saudi Arabia,Volcanic field,640 CE,Middle East (southern),27.08,37.25,1920.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
75,"Lunayyir, Harrat",Saudi Arabia,Volcanic field,1000 CE,Middle East (southern),25.17,37.75,1370.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
76,"Khaybar, Harrat",Saudi Arabia,Volcanic field,650 CE,Middle East (southern),25.0,39.92,2093.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
77,"Rahat, Harrat",Saudi Arabia,Volcanic field,1256 CE,Middle East (southern),23.08,39.78,1744.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
78,"Yar, Jabal",Saudi Arabia,Volcanic field,1810 CE,Middle East (southern),17.05,42.83,305.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
79,"Arhab, Harra of",Yemen,Volcanic field,500 CE,Middle East (southern),15.63,44.08,3100.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
80,"Haylan, Jabal",Yemen,Volcanic field,1200 BCE,Middle East (southern),15.4,45.1,1550.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
81,"Dhamar, Harras of",Yemen,Volcanic field,1937 CE,Middle East (southern),14.57,44.67,3500.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
82,"Sawad, Harra Es-",Yemen,Volcanic field,1253 CE,Middle East (southern),13.58,46.12,1737.0,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
83,Damavand,Iran,Stratovolcano,5350 BCE,Middle East (western),35.95,52.11,5670.0,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km)
84,Mayotte,France,Shield,2019 CE,Indian Ocean (western),-12.83,45.17,660.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
85,Karthala,Comoros,Shield,2007 CE,Indian Ocean (western),-11.75,43.38,2361.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
86,Itasy Volcanic Field,Madagascar,Pyroclastic cone(s),6050 BCE,Indian Ocean (western),-19.03,46.7,1800.0,Trachyte / Trachydacite,Intraplate / Continental crust (>25 km)
87,"Fournaise, Piton de la",France,Shield,2020 CE,Indian Ocean (western),-21.24,55.71,2632.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
88,Boomerang Seamount,France,Submarine,1995 CE,Indian Ocean (southern),-37.72,77.83,-650.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
89,St. Paul,France,Stratovolcano,1793 CE,Indian Ocean (southern),-38.72,77.53,268.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
90,Heard,Australia,Stratovolcano,2020 CE,Indian Ocean (southern),-53.11,73.51,2745.0,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic crust (< 15 km)
91,McDonald Islands,Australia,Complex,2005 CE,Indian Ocean (southern),-53.03,72.6,230.0,Phonolite,Intraplate / Oceanic crust (< 15 km)
92,Marion Island,South Africa,Shield(s),2004 CE,Indian Ocean (southern),-46.9,37.75,1230.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
93,Kaikohe-Bay of Islands,New Zealand,Volcanic field,400 CE,New Zealand,-35.3,173.9,388.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
94,Auckland Volcanic Field,New Zealand,Volcanic field,1350 CE,New Zealand,-36.9,174.87,260.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
95,Mayor Island,New Zealand,Shield,5060 BCE,New Zealand,-37.28,176.25,355.0,Rhyolite,Subduction zone / Continental crust (>25 km)
96,Taranaki,New Zealand,Stratovolcano,1800 CE,New Zealand,-39.3,174.07,2518.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
97,Whakaari/White Island,New Zealand,Stratovolcano(es),2019 CE,New Zealand,-37.52,177.18,294.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
98,Okataina,New Zealand,Lava dome(s),1981 CE,New Zealand,-38.12,176.5,1111.0,Rhyolite,Subduction zone / Continental crust (>25 km)
99,Reporoa,New Zealand,Caldera,1180 CE,New Zealand,-38.42,176.33,592.0,Rhyolite,Subduction zone / Continental crust (>25 km)
100,Maroa,New Zealand,Caldera(s),180 CE,New Zealand,-38.42,176.08,897.0,Rhyolite,Subduction zone / Continental crust (>25 km)
101,Taupo,New Zealand,Caldera,260 CE,New Zealand,-38.82,176.0,760.0,Rhyolite,Subduction zone / Continental crust (>25 km)
102,Tongariro,New Zealand,Stratovolcano(es),2012 CE,New Zealand,-39.16,175.63,1978.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
103,Ruapehu,New Zealand,Stratovolcano,2007 CE,New Zealand,-39.28,175.57,2797.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
104,Rumble III,New Zealand,Submarine,2008 CE,New Zealand,-35.75,178.48,-220.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
105,Healy,New Zealand,Submarine,1360 CE,New Zealand,-35.0,178.97,-980.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
106,Macauley,New Zealand,Caldera,4360 BCE,Kermadec Islands,-30.21,-178.48,238.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
107,Raoul Island,New Zealand,Stratovolcano,2006 CE,Kermadec Islands,-29.27,-177.92,516.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
108,Monowai,New Zealand,Submarine,2012 CE,Tonga Islands,-25.89,-177.19,-132.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
109,Unnamed,Tonga,Submarine,1932 CE,Tonga Islands,-21.34,-175.65,-68.0,No Data (checked),Subduction zone / Oceanic crust (< 15 km)
110,Unnamed,Tonga,Submarine,2017 CE,Tonga Islands,-20.85,-175.55,-296.0,No Data (checked),Subduction zone / Oceanic crust (< 15 km)
111,Hunga Tonga-Hunga Ha'apai,Tonga,Submarine,2015 CE,Tonga Islands,-20.54,-175.38,114.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
112,Fonuafo'ou,Tonga,Submarine,1936 CE,Tonga Islands,-20.32,-175.42,-17.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
113,Tofua,Tonga,Caldera,2014 CE,Tonga Islands,-19.75,-175.07,515.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
114,Kao,Tonga,Stratovolcano,1847 CE,Tonga Islands,-19.67,-175.02,1009.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
115,Lateiki,Tonga,Submarine,2019 CE,Tonga Islands,-19.18,-174.87,43.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
116,Home Reef,Tonga,Submarine,2006 CE,Tonga Islands,-18.99,-174.78,-10.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
117,Late,Tonga,Stratovolcano,1854 CE,Tonga Islands,-18.81,-174.65,540.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
118,Unnamed,Tonga,Submarine,2001 CE,Tonga Islands,-18.33,-174.37,-40.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
119,Fonualei,Tonga,Stratovolcano,1957 CE,Tonga Islands,-18.02,-174.32,188.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
120,Curacoa,Tonga,Submarine,1979 CE,Tonga Islands,-15.62,-173.67,-33.0,Dacite,Subduction zone / Oceanic crust (< 15 km)
121,Niuafo'ou,Tonga,Shield,1985 CE,Tonga Islands,-15.6,-175.63,260.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
122,Tafu-Maka,Tonga,Submarine,2008 CE,Tonga Islands,-15.37,-174.23,-1400.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
123,West Mata,Tonga,Submarine,2009 CE,Tonga Islands,-15.1,-173.75,-1174.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
124,Vailulu'u,United States,Submarine,2003 CE,Samoan and Wallis Islands,-14.22,-169.06,-592.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
125,Ofu-Olosega,United States,Shield(s),1866 CE,Samoan and Wallis Islands,-14.18,-169.62,639.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
126,Tutuila,United States,Tuff cone(s),440 CE,Samoan and Wallis Islands,-14.3,-170.7,653.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
127,Savai'i,Samoa,Shield,1911 CE,Samoan and Wallis Islands,-13.61,-172.53,1858.0,Basalt / Picro-Basalt,Subduction zone / Oceanic crust (< 15 km)
128,Taveuni,Fiji,Shield,1550 CE,Fiji Islands,-16.82,-179.97,1241.0,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
129,Nabukelevu,Fiji,Lava dome(s),1660 CE,Fiji Islands,-19.12,177.98,805.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
130,St. Andrew Strait,Papua New Guinea,Complex,1957 CE,Admiralty Islands,-2.38,147.35,270.0,Rhyolite,Subduction zone / Oceanic crust (< 15 km)
131,Central Bismarck Sea,Papua New Guinea,Submarine,1972 CE,Admiralty Islands,-3.03,147.78,-1300.0,No Data (checked),Rift zone / Continental crust (>25 km)
132,Kadovar,Papua New Guinea,Stratovolcano,2020 CE,Northeast of New Guinea,-3.61,144.59,365.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
133,Bam,Papua New Guinea,Stratovolcano,1960 CE,Northeast of New Guinea,-3.61,144.82,685.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
134,Manam,Papua New Guinea,Stratovolcano,2020 CE,Northeast of New Guinea,-4.08,145.04,1807.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
135,Karkar,Papua New Guinea,Stratovolcano,2014 CE,Northeast of New Guinea,-4.65,145.96,1839.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
136,Long Island,Papua New Guinea,Complex,1993 CE,Northeast of New Guinea,-5.36,147.12,1280.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
137,Ritter Island,Papua New Guinea,Stratovolcano,2007 CE,Northeast of New Guinea,-5.52,148.12,75.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
138,Langila,Papua New Guinea,Complex,2018 CE,New Britain,-5.53,148.42,1330.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
139,Dakataua,Papua New Guinea,Caldera,1895 CE,New Britain,-5.09,150.09,408.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
140,Krummel-Garbuna-Welcker,Papua New Guinea,Stratovolcano(es),2008 CE,New Britain,-5.42,150.03,564.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
141,Witori,Papua New Guinea,Caldera,2012 CE,New Britain,-5.58,150.52,724.0,Dacite,Subduction zone / Continental crust (>25 km)
142,Hargy,Papua New Guinea,Stratovolcano,950 CE,New Britain,-5.33,151.1,1148.0,Dacite,Subduction zone / Continental crust (>25 km)
143,Bamus,Papua New Guinea,Stratovolcano,1886 CE,New Britain,-5.2,151.23,2248.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
144,Ulawun,Papua New Guinea,Stratovolcano,2019 CE,New Britain,-5.05,151.33,2334.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
145,Lolobau,Papua New Guinea,Caldera,1912 CE,New Britain,-4.92,151.16,858.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
146,Rabaul,Papua New Guinea,Pyroclastic shield,2014 CE,New Britain,-4.27,152.2,688.0,Dacite,Subduction zone / Continental crust (>25 km)
147,Tavui,Papua New Guinea,Caldera,4946 BCE,New Britain,-4.12,152.2,200.0,Rhyolite,Subduction zone / Continental crust (>25 km)
148,Lamington,Papua New Guinea,Stratovolcano,1956 CE,New Guinea and D'Entrecasteaux Islands,-8.95,148.15,1680.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
149,Victory,Papua New Guinea,Stratovolcano,1935 CE,New Guinea and D'Entrecasteaux Islands,-9.2,149.07,1925.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
150,Waiowa,Papua New Guinea,Pyroclastic cone,1944 CE,New Guinea and D'Entrecasteaux Islands,-9.57,149.08,640.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
151,Dawson Strait Group,Papua New Guinea,Volcanic field,1350 CE,New Guinea and D'Entrecasteaux Islands,-9.62,150.88,500.0,Rhyolite,Subduction zone / Continental crust (>25 km)
152,Ambitle,Papua New Guinea,Stratovolcano,350 BCE,New Ireland,-4.08,153.65,450.0,Phono-tephrite /  Tephri-phonolite,Subduction zone / Crustal thickness unknown
153,Billy Mitchell,Papua New Guinea,Pyroclastic shield,1580 CE,Bougainville and Solomon Islands,-6.09,155.23,1544.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
154,Bagana,Papua New Guinea,Lava cone,2020 CE,Bougainville and Solomon Islands,-6.14,155.2,1855.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
155,Loloru,Papua New Guinea,Pyroclastic shield,1050 BCE,Bougainville and Solomon Islands,-6.52,155.62,1887.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
156,Simbo,Solomon Islands,Stratovolcano(es),1910 CE,Bougainville and Solomon Islands,-8.29,156.52,335.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
157,Kavachi,Solomon Islands,Submarine,2007 CE,Bougainville and Solomon Islands,-8.99,157.98,-20.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
158,Savo,Solomon Islands,Stratovolcano,1847 CE,Bougainville and Solomon Islands,-9.13,159.82,485.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
159,Tinakula,Solomon Islands,Stratovolcano,2020 CE,Santa Cruz Islands,-10.39,165.8,796.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
160,Suretamatai,Vanuatu,Complex,1966 CE,Vanuatu,-13.8,167.47,921.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
161,Gaua,Vanuatu,Stratovolcano,2011 CE,Vanuatu,-14.27,167.5,797.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
162,Ambae,Vanuatu,Shield,2018 CE,Vanuatu,-15.39,167.84,1496.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
163,Ambrym,Vanuatu,Pyroclastic shield,2018 CE,Vanuatu,-16.25,168.12,1334.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
164,Lopevi,Vanuatu,Stratovolcano,2007 CE,Vanuatu,-16.51,168.35,1413.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
165,Epi,Vanuatu,Stratovolcano(es),2004 CE,Vanuatu,-16.68,168.37,833.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
166,Kuwae,Vanuatu,Caldera,1974 CE,Vanuatu,-16.83,168.54,-2.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
167,Traitor's Head,Vanuatu,Stratovolcano,1881 CE,Vanuatu,-18.75,169.24,817.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
168,Yasur,Vanuatu,Stratovolcano,2020 CE,Vanuatu,-19.53,169.45,361.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
