id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
581,Salton Buttes,United States,Lava dome(s),210 CE,USA (California),33.2,-115.62,-40.0,Rhyolite,Rift zone / Continental crust (>25 km)
582,Black Butte Crater Lava Field,United States,Shield,8400 BCE,USA (Idaho),43.18,-114.35,1478.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
583,Craters of the Moon,United States,Pyroclastic cone(s),130 BCE,USA (Idaho),43.42,-113.5,2005.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
584,Wapi Lava Field,United States,Shield,300 BCE,USA (Idaho),42.88,-113.22,1604.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
585,Hell's Half Acre,United States,Shield,3250 BCE,USA (Idaho),43.5,-112.45,1631.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
586,Yellowstone,United States,Caldera(s),1350 BCE,USA (Wyoming),44.43,-110.67,2805.0,Rhyolite,Rift zone / Continental crust (>25 km)
587,Markagunt Plateau,United States,Volcanic field,1050 CE,USA (Utah),37.58,-112.67,2840.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
588,Black Rock Desert,United States,Volcanic field,1290 CE,USA (Utah),38.97,-112.5,1800.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
589,Carrizozo,United States,Pyroclastic cone(s),3250 BCE,USA (New Mexico),33.78,-105.93,1731.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
590,Zuni-Bandera,United States,Volcanic field,1170 BCE,USA (New Mexico),34.8,-108.0,2550.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
591,Red Hill,United States,Volcanic field,9450 BCE,USA (New Mexico),34.25,-108.83,2300.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
592,Dotsero,United States,Maar,2200 BCE,USA (Colorado),39.66,-107.04,2230.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
593,Uinkaret Field,United States,Volcanic field,1100 CE,USA (Arizona),36.38,-113.13,1555.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
594,San Francisco Volcanic Field,United States,Pyroclastic cone,1075 CE,USA (Arizona),35.35,-111.68,3850.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
595,Endeavour Segment,Canada,Submarine,3490 BCE,Pacific Ocean (northern),47.95,-129.1,-2050.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
596,Cobb Segment,Canada,Submarine,1180 BCE,Pacific Ocean (northern),46.88,-129.33,-2100.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
597,CoAxial Segment,Undersea Features,Submarine,1993 CE,Pacific Ocean (northern),46.52,-129.58,-2400.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
598,Axial Seamount,Undersea Features,Submarine,2015 CE,Pacific Ocean (northern),45.95,-130.0,-1410.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
599,Cleft Segment,Undersea Features,Submarine,1986 CE,Pacific Ocean (northern),44.83,-130.3,-2140.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
600,North Gorda Ridge Segment,Undersea Features,Submarine,1996 CE,Pacific Ocean (northern),42.67,-126.78,-3000.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
601,Escanaba Segment,Undersea Features,Submarine,2260 BCE,Pacific Ocean (northern),40.98,-127.5,-1700.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
602,Loihi,United States,Submarine,1996 CE,Hawaiian Islands,18.92,-155.27,-975.0,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
