id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Group
3a209cfc304ea22c37acaec7f609cdd26d21f6bbe9d5a7b5604578ff0c3fe3ef,100,100,100,95.73,95.73,97.14,95.51,71,79.7,100,0,96.5,100,,,,,,,,,,,,,,,,,85.39,85.39,36.7,36.7,,,0,0,,,0,0,85.39,85.39,34.87,34.87,G1
8f4e184891e207151f5d52a5fefbba858efabcd8d99f4a9b9167a5aa972fe900,100,100,94,100,96.5,100,100,99.5,95,100,100,100,100,,,,,,,,,,,,,,,,,98.72,98.72,42.43,42.43,,,0,0,,,0,0,98.72,98.72,40.31,40.31,G1
e768f185a0e54742c0b516808b7ebba3827a99585ebb18a31104a34abd5286dd,100,100,88,100,96.5,100,100,89.5,100,100,93.91,100,0,,,,,,,,,,,,,,,,,86.94,86.94,37.37,37.37,,,0,0,,,0,0,86.94,86.94,35.5,35.5,G1
6ea3fa92596adbed0ff6b55607c030923b95af11e6a1f1c27f99070bbc2b8a5f,100,100,94,97.5,96.5,100,100,100,100,100,100,90.56,100,,,,,,,,,,,,,,,,,98.06,98.06,42.15,42.15,,,0,0,,,0,0,98.06,98.06,40.04,40.04,G1
16d0e5ad6340679532d1e4ff9e5ed9e28d99167dd06376bf398fbfa4e0c59d17,100,100,96,90,72.5,100,88.71,96.5,99.75,91.36,93.18,100,98.26,,,,,,,,,,,,,,,,,94.59,94.59,40.66,40.66,,,0,0,,,0,0,94.59,94.59,38.62,38.62,G1
2401f9f9f118b6b59f7df6dde19a954237774ecb7aab53bf608f132edac5cc58,100,100,82,98.5,95.73,100,100,99,100,100,100,100,86,,,,,,,,,,,,,,,,,96.3,96.3,41.39,41.39,,,0,0,,,0,0,96.3,96.3,39.32,39.32,G1
c5b54e779f3251b3b0011070ed9b0cfd38a472684fba7601fa96739c3eec38d1,100,100,94,99.5,78,26.69,11.37,62,99.3,64.27,95.91,71.3,97.5,,,,,,,,,,,,,,,,,76.44,76.44,32.86,32.86,,,0,0,,,0,0,76.44,76.44,31.21,31.21,G1
9412c2d955478b34c34aed21af32562878dd1fed384e5938e83ac344f00c3216,100,100,0,0,95.5,98.51,100,100,100,100,93.04,0,0,,,,,,,,,,,,,,,,,62.24,62.24,26.75,26.75,,,0,0,,,0,0,62.24,62.24,25.42,25.42,G1
f9e86371e380b818a7e9254b00ba4cf2146aac51577ef9e3770363524a21d0b0,100,100,94,96.23,95,98.51,95.51,100,99.25,100,95.4,100,68,,,,,,,,,,,,,,,,,94.68,94.68,40.69,40.69,,,0,0,,,0,0,94.68,94.68,38.66,38.66,G1
d92957c7bcae0091431df6f4f4c090bed4536af96a7549f9f1fbb21c49b83efb,100,100,100,85.5,70.2,100,100,96.25,100,100,100,97,96.5,,,,,,,,,,,,,,,,,96.32,96.32,41.4,41.4,,,0,0,,,0,0,96.32,96.32,39.33,39.33,G1
9f152f0745d71476602e3bc76efd1417b38480fa7fa53207c44d8c4981449db6,100,100,94,86,75.2,100,100,100,100,100,82,100,82.5,,,,,,,,,,,,,,,,,93.57,93.57,40.22,40.22,,,0,0,,,0,0,93.57,93.57,38.21,38.21,G1
b7d5df20796bc5c00a69f8c3e44c8dcc084f5549b9dac4fafe18cea0952a9c55,100,100,100,100,96.23,100,95.06,100,100,30.07,84.31,100,100,,,,,,,,,,,,,,,,,91.55,91.55,39.35,39.35,,,0,0,,,0,0,91.55,91.55,37.38,37.38,G1
c50e4fb6a029fb5e89e20e23d6bf5f131cd7ba82bdf454fe55ba93123286cdbd,100,100,82,90,82,100,100,95.1,98.6,37.87,30.91,82.5,95,,,,,,,,,,,,,,,,,81.59,81.59,35.07,35.07,,,0,0,,,0,0,81.59,81.59,33.32,33.32,G1
07f4512db5edc53267fb6bbca525614bf04c56612c2fa291908f2efb2c9ede8e,100,100,100,96,76.7,100,100,97,100,100,100,100,100,,,,,,,,,,,,,,,,,98.08,98.08,42.16,42.16,,,0,0,,,0,0,98.08,98.08,40.05,40.05,G1
bea26b625c252b723557f3d67cfe7d6302132a72c09f4dd7f4a3de9e517e6fb8,100,100,100,95,73,100,100,89.25,93,100,100,96.5,97.26,,,,,,,,,,,,,,,,,95.95,95.95,41.24,41.24,,,0,0,,,0,0,95.95,95.95,39.18,39.18,G1
26a15029f40312876a54c9b136fbf575e35de988ec2798f0c6553df3fd35309c,100,100,88,99.27,93,100,100,86,100,100,100,100,100,,,,,,,,,,,,,,,,,97.16,97.16,41.76,41.76,,,0,0,,,0,0,97.16,97.16,39.67,39.67,G1
a990cefa28c4db4bac15a928ffa4c93d090f4116389b87eb0447fe32ea7b9920,100,100,88,99.27,91.5,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.21,98.21,42.21,42.21,,,0,0,,,0,0,98.21,98.21,40.1,40.1,G1
c21463aad173cb9e8d6fe81f30d1310a560302598ac9803305897a503b4003ec,100,100,88,96.5,95,100,100,96.5,100,100,100,100,99.26,,,,,,,,,,,,,,,,,97.89,97.89,42.08,42.08,,,0,0,,,0,0,97.89,97.89,39.97,39.97,G1
5a4f70897458ed0ed06b9ccf5401b63379687c6231dc24dccc4b3e2d3a21a56f,100,100,94,76,70.7,98.51,100,90.25,95,100,96.82,100,100,,,,,,,,,,,,,,,,,94.52,94.52,40.63,40.63,,,0,0,,,0,0,94.52,94.52,38.6,38.6,G1
0414bccd6610d1d2b8327a9c48b38712ef2db25779efbc79dc014c3dd8d6386b,100,100,94,99.73,100,100,100,99.3,65,100,100,100,100,,,,,,,,,,,,,,,,,96.46,96.46,41.46,41.46,,,0,0,,,0,0,96.46,96.46,39.39,39.39,G1
91dc2ab79caa11876489f8ee366773f6fa88e94d250a2cfcc0931cce4e3b5d9b,0,0,100,100,94.27,0,0,95,98.5,97.27,97.27,100,100,,,,,,,,,,,,,,,,,76.17,76.17,32.74,32.74,,,0,0,,,0,0,76.17,76.17,31.1,31.1,G1
170db2a319b723f40ab9d9542c4edba42f2ce53971433a5c65d50cf883471ad6,100,100,100,100,96.5,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99.79,99.79,42.89,42.89,,,0,0,,,0,0,99.79,99.79,40.75,40.75,G1
