id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1573,LinkNYC - Citybridge,90-02 Queens Blvd,40.73,-73.87,Outdoor Kiosk,Queens,Elmhurst,11373.0
1574,LinkNYC - Citybridge,87-20 55 Avenue,40.74,-73.88,Outdoor Kiosk,Queens,Elmhurst,11373.0
1575,LinkNYC - Citybridge,51-01 Goldsmith Street,40.74,-73.88,Outdoor Kiosk,Queens,Elmhurst,11373.0
1576,LinkNYC - Citybridge,79-14 Queens Blvd,40.74,-73.88,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11373.0
1577,LinkNYC - Citybridge,90-20 Queens Blvd,40.73,-73.87,Outdoor Kiosk,Queens,Elmhurst,11373.0
1578,LinkNYC - Citybridge,110-44 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1579,LinkNYC - Citybridge,110-88 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1580,LinkNYC - Citybridge,112-28 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1581,LinkNYC - Citybridge,116-12 Queens Blvd,40.72,-73.83,Outdoor Kiosk,Queens,Forest Hills,11375.0
1582,LinkNYC - Citybridge,107-40 Queens Blvd,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1583,LinkNYC - Citybridge,98-04 Queens Blvd,40.73,-73.86,Outdoor Kiosk,Queens,Forest Hills,11374.0
1584,LinkNYC - Citybridge,101-10 QUEENS BLVD,40.73,-73.85,Outdoor Kiosk,Queens,Forest Hills,11375.0
1585,LinkNYC - Citybridge,107-02 71 AVENUE,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1586,LinkNYC - Citybridge,106-20 71 AVENUE,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1587,LinkNYC - Citybridge,70-25 YELLOWSTONE BOULEVARD,40.72,-73.85,Outdoor Kiosk,Queens,Forest Hills,11375.0
1588,LinkNYC - Citybridge,101-20 Queens Blvd,40.73,-73.85,Outdoor Kiosk,Queens,Forest Hills,11375.0
1589,LinkNYC - Citybridge,110-72 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1590,LinkNYC - Citybridge,118-10 QUEENS BLVD,40.71,-73.83,Outdoor Kiosk,Queens,Forest Hills,11375.0
1591,LinkNYC - Citybridge,98-108 Queens Blvd,40.73,-73.85,Outdoor Kiosk,Queens,Forest Hills,11374.0
1592,LinkNYC - Citybridge,97-14 66 AVE,40.73,-73.86,Outdoor Kiosk,Queens,Forest Hills,11374.0
1593,LinkNYC - Citybridge,98-38 Queens Blvd,40.73,-73.86,Outdoor Kiosk,Queens,Forest Hills,11374.0
1594,LinkNYC - Citybridge,98-22 Queens Blvd,40.73,-73.86,Outdoor Kiosk,Queens,Forest Hills,11374.0
1595,LinkNYC - Citybridge,112-04 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
1596,LinkNYC - Citybridge,113-14 QUEENS BLVD,40.72,-73.84,Outdoor Kiosk,Queens,Forest Hills,11375.0
