id,Address,City,County,Latitude,Longitude,Postal Code,State Code,State
316,1100 Lake Woodlands Dr,The Woodlands,Montgomery,30.17,-95.45,77380.0,TX,Texas
317,6931 FM 1960 Rd E,Humble,Harris,30.0,-95.17,77346.0,TX,Texas
318,20777 Hwy 59 N,Humble,Harris,30.02,-95.27,77338.0,TX,Texas
319,6635 N Grand Pkwy W,Spring,Harris,30.09,-95.52,77389.0,TX,Texas
320,19511 I H 45,Spring,Harris,30.05,-95.43,77388.0,TX,Texas
321,14302 FM 2920 Rd,Tomball,Harris,30.09,-95.64,77377.0,TX,Texas
322,5201 N Belt Hwy,St. Joseph,Buchanan,39.82,-94.81,64506.0,MO,Missouri
323,800 Commons Pl,Manhattan,Riley,39.17,-96.61,66503.0,KS,Kansas
324,3901 W Ina Rd,Tucson,Pima,32.34,-111.05,85741.0,AZ,Arizona
325,1225 W Irvington Rd,Tucson,Pima,32.16,-110.99,85714.0,AZ,Arizona
326,4040 N Oracle Rd,Tucson,Pima,32.28,-110.98,85705.0,AZ,Arizona
327,10555 N Oracle Rd,Oro Valley,Pima,32.4,-110.96,85737.0,AZ,Arizona
328,3699 E Broadway Blvd,Tucson,Pima,32.22,-110.91,85716.0,AZ,Arizona
329,5255 E Broadway Blvd,Tucson,Pima,32.22,-110.88,85711.0,AZ,Arizona
330,6500 E Grant Rd,Tucson,Pima,32.25,-110.85,85715.0,AZ,Arizona
331,9615 E Old Spanish Trl,Tucson,Pima,32.21,-110.79,85748.0,AZ,Arizona
332,3777 S ARIZONA AVE,Chandler,Maricopa,33.25,-111.84,85248.0,AZ,Arizona
333,3931 S Gilbert Rd,Gilbert,Maricopa,33.28,-111.79,85297.0,AZ,Arizona
334,3425 W Frye Rd,Chandler,Maricopa,33.3,-111.9,85226.0,AZ,Arizona
335,21398 S Ellsworth Loop Rd,Queen Creek,Maricopa,33.25,-111.64,85142.0,AZ,Arizona
336,4734 E Ray Rd,Phoenix,Maricopa,33.32,-111.98,85044.0,AZ,Arizona
337,1515 E Warner Rd,Gilbert,Maricopa,33.33,-111.76,85296.0,AZ,Arizona
338,5110 S Power Rd,Mesa,Maricopa,33.32,-111.69,85212.0,AZ,Arizona
339,2140 E Baseline Rd,Phoenix,Maricopa,33.38,-112.04,85042.0,AZ,Arizona
340,1818 E Baseline Rd,Tempe,Maricopa,33.38,-111.91,85283.0,AZ,Arizona
341,1230 S Longmore Ave,Mesa,Maricopa,33.39,-111.86,85202.0,AZ,Arizona
