id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
b5e81a7ebfcbca690f6c113c1471d630be118e9453e281be619ec7d1b746a847,100,100,82,97.77,100,93.51,91,100,0,0,95,94.9,96.18,,,,,,,,,,,,,,,,,78.2,78.2,33.61,33.61,,,0,0,,,0,0,78.2,78.2,31.93,31.93
6f808cb09dc53e24b74763e81f9f71f1bc23aa1cc3aee4965e2fe11890add4ea,100,100,58,97.77,100,98,100,100,100,100,100,96,98,,,,,,,,,,,,,,,,,94.82,94.82,40.76,40.76,,,0,0,,,0,0,94.82,94.82,38.72,38.72
a9c3a206b036eca9546e86ab757180c833f8023857f50150757eb6ba107bbd38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b579cb9f2a92ff2560150e19a71ba4255565bad91d1b796e90530eb3207bee7,100,100,94,100,76.67,92,100,100,99.55,100,58,95.9,30.34,,,,,,,,,,,,,,,,,85.97,85.97,36.95,36.95,,,0,0,,,0,0,85.97,85.97,35.1,35.1
446b28b40ca6a181fb9a1f1b950e6f03f8e9f47247c873e94c88f5c118906024,100,100,100,100,100,99,99,100,100,99.76,100,100,100,,,,,,,,,,,,,,,,,99.83,99.83,42.91,42.91,,,0,0,,,0,0,99.83,99.83,40.77,40.77
46b8d17afa2ff4e63b3c744eb108867a48fe615df75843eb703ad19bd483e73d,95,100,94,100,73.93,98,97,100,100,0,0,95.04,95.78,,,,,,,,,,,,,,,,,77.93,77.93,33.49,33.49,,,0,0,,,0,0,77.93,77.93,31.82,31.82
7fa67f454959386abf3a68952a1c1cf464c4271a0cd3b4abe979708fd248451f,100,100,94,100,100,95,99,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.96,98.96,42.54,42.54,,,0,0,,,0,0,98.96,98.96,40.41,40.41
be4de3e4eca32ed6205b86195b7b57d334c3fc94e39e686bbd30834e3cfcab25,100,100,94,100,76.67,100,100,100,0,100,89.76,95.9,0,,,,,,,,,,,,,,,,,78.23,78.23,33.63,33.63,,,0,0,,,0,0,78.23,78.23,31.95,31.95
dbe06be8d75dec0acaa952d250a14de120af98da8a9799835fa3ae48f6efef72,0,0,83,100,100,64.26,28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,27.3,27.3,11.74,11.74,,,0,0,,,0,0,27.3,27.3,11.15,11.15
d6e4627f967bf59530531981153c7027b1eb29d9f21da583f2f9ff399afe7f2a,100,100,100,100,100,91.49,100,100,100,100,0,17.34,100,,,,,,,,,,,,,,,,,81.77,81.77,35.15,35.15,,,0,0,,,0,0,81.77,81.77,33.39,33.39
645c65db159076b085530ea8d9f852b2a4d675efdd8730938d753474c08aa738,100,100,94,100,76.67,96.49,46.83,100,0,100,0,100,100,,,,,,,,,,,,,,,,,76.56,76.56,32.91,32.91,,,0,0,,,0,0,76.56,76.56,31.26,31.26
0e8c3d11a8792d9535420fb8685422bffcf073f780ee07606b36c5b89a8af923,100,100,88,100,100,100,97,100,100,97.51,0,95.9,98.64,,,,,,,,,,,,,,,,,88.59,88.59,38.08,38.08,,,0,0,,,0,0,88.59,88.59,36.17,36.17
88011b8a5ad9ccdfe8b5449cd3cf6829fc935005a99caf2fa21ba7f19d0cd5b3,100,100,82,100,76.67,98,95.51,100,100,100,100,100,100,,,,,,,,,,,,,,,,,96.27,96.27,41.38,41.38,,,0,0,,,0,0,96.27,96.27,39.31,39.31
8a4584e6452e5787f44a3e361c49e0f1e5590266001cd1e9c0e4732134e990bb,100,100,100,100,100,95.74,99.26,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99.64,99.64,42.83,42.83,,,0,0,,,0,0,99.64,99.64,40.69,40.69
8ed554766f6683722d49a0528f3062e85841e2109c1a1c246ff86ca132276141,100,100,94,100,100,85,99,100,100,94.24,100,100,100,,,,,,,,,,,,,,,,,97.72,97.72,42,42,,,0,0,,,0,0,97.72,97.72,39.9,39.9
c39bcf8b4616dac82ff218aac60c68e53dc4e8c13deea9ebd35234bb20c4c912,100,100,88,100,100,97.8,99.29,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.57,98.57,42.37,42.37,,,0,0,,,0,0,98.57,98.57,40.25,40.25
20b2471cec1d3e9a9686a706f780ba511c77f9e9e25f39a9a02a77a1cc98ed01,100,100,94,100,100,95,91.49,86,100,95,95.76,100,100,,,,,,,,,,,,,,,,,96.43,96.43,41.45,41.45,,,0,0,,,0,0,96.43,96.43,39.38,39.38
096b04ef7150d4f4265f00c2ead253fec735eebbe643948ff3cae61db154d32f,100,100,88,95,71.67,100,99.49,100,100,100,86,98.64,98.64,,,,,,,,,,,,,,,,,95.13,95.13,40.89,40.89,,,0,0,,,0,0,95.13,95.13,38.85,38.85
19d6e38914a2bf31c757efe10918e6867610c53099cb68d845db402e13171e28,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,100,100,42.98,42.98,,,0,0,,,0,0,100,100,40.83,40.83
0203f58870e57fa60f3765b8a171484cf2784f8aa1085e0f6bb53235c3708d69,100,100,100,100,100,92.26,86,100,100,100,93,100,0,,,,,,,,,,,,,,,,,87.6,87.6,37.65,37.65,,,0,0,,,0,0,87.6,87.6,35.77,35.77
734e89fcb28ad6975046fa43224c4d3d0079c2e4d79e963fe6f289e83d5030bc,100,100,100,100,100,100,94,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99.57,99.57,42.8,42.8,,,0,0,,,0,0,99.57,99.57,40.66,40.66
334419c1a6fd6299b52c61e3ea4ec520ef6d0ec091d2cc938b96ea80810ab043,100,100,88,100,100,100,93,100,98.9,94.04,99.76,100,100,,,,,,,,,,,,,,,,,97.62,97.62,41.96,41.96,,,0,0,,,0,0,97.62,97.62,39.86,39.86
236f97650dfa7541df9eb5349e6bc6f4c2117d691071a072564172717799c003,100,0,95,100,100,72,100,100,100,0,65,0,0,,,,,,,,,,,,,,,,,60.6,60.6,26.05,26.05,,,0,0,,,0,0,60.6,60.6,24.75,24.75
2f99c146b70c2b3e2beae4b4f35f4323763204da1a62a369ad039f40ef66b45f,100,100,89,97.77,100,95,95.51,100,100,88.24,100,100,100,,,,,,,,,,,,,,,,,96.98,96.98,41.69,41.69,,,0,0,,,0,0,96.98,96.98,39.6,39.6
6fff038132577d85734a9d66e144e424555cc3fc9a2675c84c8c3f9b66a57492,100,100,94,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99.39,99.39,42.72,42.72,,,0,0,,,0,0,99.39,99.39,40.58,40.58
9db2ed8d443f5bf59fa96dc092a75863724bb83e5f30df8be042910c56e053d6,100,100,90,99.53,100,74,97,99.1,100,63.51,99.76,97.28,100,,,,,,,,,,,,,,,,,93.15,93.15,40.04,40.04,,,0,0,,,0,0,93.15,93.15,38.04,38.04
a628fdf0178b668bb3c1c63ef20e959b23b51a68a66a6db010d889472ec6c9dc,100,100,75,100,100,38.51,86,100,100,99.76,93,100,100,,,,,,,,,,,,,,,,,91.39,91.39,39.28,39.28,,,0,0,,,0,0,91.39,91.39,37.32,37.32
