id,Justice number,Image,Justice,Year of birth,State,Position,Succeeded,Date confirmed,Tenure length,Nominated by
60,60.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/WHMoody.jpg/464px-WHMoody.jpg,William Henry Moody,1853.0,MA,AssociateJustice,Brown,"December 12, 1906","3 years, 338 days",Theodore Roosevelt
61,61.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/HoraceHarmonLurton.jpg/488px-HoraceHarmonLurton.jpg,Horace Harmon Lurton,1844.0,TN,AssociateJustice,Peckham,"December 20, 1909","4 years, 204 days",William Howard Taft
62,62.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Charles_Evans_Hughes_cph.3b15401.jpg/467px-Charles_Evans_Hughes_cph.3b15401.jpg,Charles Evans Hughes,1862.0,NY,AssociateJustice,Brewer,"May 2, 1910","5 years, 244 days",William Howard Taft
63,63.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Willis_Van_Devanter.jpg/435px-Willis_Van_Devanter.jpg,Willis Van Devanter,1859.0,WY,AssociateJustice,E. D. White,"December 15, 1910","26 years, 150 days",William Howard Taft
64,64.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Joseph_Lamar.jpg/387px-Joseph_Lamar.jpg,Joseph Rucker Lamar,1857.0,GA,AssociateJustice,Moody,"December 15, 1910","4 years, 364 days",William Howard Taft
65,65.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Mahlon_Pitney_cph.3b30300.jpg/419px-Mahlon_Pitney_cph.3b30300.jpg,Mahlon Pitney,1858.0,NJ,AssociateJustice,J. Harlan,"March 13, 1912","10 years, 288 days",William Howard Taft
66,66.0,https://upload.wikimedia.org/wikipedia/commons/1/1f/Jamescmcreynolds.jpg,James Clark McReynolds,1862.0,TN,AssociateJustice,Lurton,"August 29, 1914","26 years, 111 days",Woodrow Wilson
67,67.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Brandeisl.jpg/419px-Brandeisl.jpg,Louis Brandeis,1856.0,KY,AssociateJustice,J. Lamar,"June 1, 1916","22 years, 253 days",Woodrow Wilson
68,68.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/John_Hessin_Clarke_cph.3b09252.jpg/461px-John_Hessin_Clarke_cph.3b09252.jpg,John Hessin Clarke,1857.0,OH,AssociateJustice,Hughes,"July 24, 1916","5 years, 344 days",Woodrow Wilson
69,69.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/William_Howard_Taft_1909b.jpg/449px-William_Howard_Taft_1909b.jpg,William Howard Taft,1857.0,CT,ChiefJustice,E. D. White,"June 30, 1921","8 years, 207 days",Warren G. Harding
